 #          51 :  d2S/dy_jj dm_jj (fb/GeV) (NLO)	 #          51 :  d2S/dy_jj dm_jj (fb/GeV) (NLO)
0.00000 0.500000 650.000 700.000 0.0 0.0	0.00000 0.500000 650.000 700.000 0.0 0.0
0.00000 0.500000 700.000 750.000 0.0 0.0	0.00000 0.500000 700.000 750.000 0.0 0.0
0.00000 0.500000 750.000 800.000 0.0 0.0	0.00000 0.500000 750.000 800.000 0.0 0.0
0.00000 0.500000 800.000 850.000 0.0 0.0	0.00000 0.500000 800.000 850.000 0.0 0.0
0.00000 0.500000 850.000 900.000 0.0 0.0	0.00000 0.500000 850.000 900.000 0.0 0.0
0.00000 0.500000 900.000 950.000 0.0 0.0	0.00000 0.500000 900.000 950.000 0.0 0.0
0.00000 0.500000 950.000 1000.00 0.0 0.0	0.00000 0.500000 950.000 1000.00 0.0 0.0
0.00000 0.500000 1000.00 1050.00 0.0 0.0	0.00000 0.500000 1000.00 1050.00 0.0 0.0
 	 
0.500000 1.00000 -50.0000 0.00000 0.0 0.0	0.500000 1.00000 -50.0000 0.00000 0.0 0.0
0.500000 1.00000 0.00000 50.0000 0.0 0.0	0.500000 1.00000 0.00000 50.0000 0.0 0.0
0.500000 1.00000 50.0000 100.000 0.0 0.0	0.500000 1.00000 50.0000 100.000 0.0 0.0
0.500000 1.00000 100.000 150.000 0.0 0.0	0.500000 1.00000 100.000 150.000 0.0 0.0
0.500000 1.00000 150.000 200.000 0.0 0.0	0.500000 1.00000 150.000 200.000 0.0 0.0
0.500000 1.00000 200.000 250.000 0.0 0.0	0.500000 1.00000 200.000 250.000 0.0 0.0
0.500000 1.00000 250.000 300.000 0.0 0.0	0.500000 1.00000 250.000 300.000 0.0 0.0
0.500000 1.00000 300.000 350.000 0.0 0.0	0.500000 1.00000 300.000 350.000 0.0 0.0
0.500000 1.00000 350.000 400.000 0.0 0.0	0.500000 1.00000 350.000 400.000 0.0 0.0
0.500000 1.00000 400.000 450.000 0.0 0.0	0.500000 1.00000 400.000 450.000 0.0 0.0
0.500000 1.00000 450.000 500.000 0.0 0.0	0.500000 1.00000 450.000 500.000 0.0 0.0
0.500000 1.00000 500.000 550.000 0.0 0.0	0.500000 1.00000 500.000 550.000 0.0 0.0
0.500000 1.00000 550.000 600.000 0.0 0.0	0.500000 1.00000 550.000 600.000 0.0 0.0
0.500000 1.00000 600.000 650.000 0.0 0.0	0.500000 1.00000 600.000 650.000 0.0 0.0
0.500000 1.00000 650.000 700.000 0.0 0.0	0.500000 1.00000 650.000 700.000 0.0 0.0
0.500000 1.00000 700.000 750.000 0.0 0.0	0.500000 1.00000 700.000 750.000 0.0 0.0
0.500000 1.00000 750.000 800.000 0.0 0.0	0.500000 1.00000 750.000 800.000 0.0 0.0
0.500000 1.00000 800.000 850.000 0.0 0.0	0.500000 1.00000 800.000 850.000 0.0 0.0
0.500000 1.00000 850.000 900.000 0.0 0.0	0.500000 1.00000 850.000 900.000 0.0 0.0
0.500000 1.00000 900.000 950.000 0.0 0.0	0.500000 1.00000 900.000 950.000 0.0 0.0
0.500000 1.00000 950.000 1000.00 0.0 0.0	0.500000 1.00000 950.000 1000.00 0.0 0.0
0.500000 1.00000 1000.00 1050.00 0.0 0.0	0.500000 1.00000 1000.00 1050.00 0.0 0.0
 	 
1.00000 1.50000 -50.0000 0.00000 0.0 0.0	1.00000 1.50000 -50.0000 0.00000 0.0 0.0
1.00000 1.50000 0.00000 50.0000 0.0 0.0	1.00000 1.50000 0.00000 50.0000 0.0 0.0
1.00000 1.50000 50.0000 100.000 0.0 0.0	1.00000 1.50000 50.0000 100.000 0.0 0.0
1.00000 1.50000 100.000 150.000 0.0 0.0	1.00000 1.50000 100.000 150.000 0.0 0.0
1.00000 1.50000 150.000 200.000 0.0 0.0	1.00000 1.50000 150.000 200.000 0.0 0.0
1.00000 1.50000 200.000 250.000 0.0 0.0	1.00000 1.50000 200.000 250.000 0.0 0.0
1.00000 1.50000 250.000 300.000 0.0 0.0	1.00000 1.50000 250.000 300.000 0.0 0.0
1.00000 1.50000 300.000 350.000 0.0 0.0	1.00000 1.50000 300.000 350.000 0.0 0.0
1.00000 1.50000 350.000 400.000 0.0 0.0	1.00000 1.50000 350.000 400.000 0.0 0.0
1.00000 1.50000 400.000 450.000 0.0 0.0	1.00000 1.50000 400.000 450.000 0.0 0.0
1.00000 1.50000 450.000 500.000 0.0 0.0	1.00000 1.50000 450.000 500.000 0.0 0.0
1.00000 1.50000 500.000 550.000 0.0 0.0	1.00000 1.50000 500.000 550.000 0.0 0.0
1.00000 1.50000 550.000 600.000 0.0 0.0	1.00000 1.50000 550.000 600.000 0.0 0.0
1.00000 1.50000 600.000 650.000 0.0 0.0	1.00000 1.50000 600.000 650.000 0.0 0.0
1.00000 1.50000 650.000 700.000 0.0 0.0	1.00000 1.50000 650.000 700.000 0.0 0.0
1.00000 1.50000 700.000 750.000 0.0 0.0	1.00000 1.50000 700.000 750.000 0.0 0.0
1.00000 1.50000 750.000 800.000 0.0 0.0	1.00000 1.50000 750.000 800.000 0.0 0.0
1.00000 1.50000 800.000 850.000 0.0 0.0	1.00000 1.50000 800.000 850.000 0.0 0.0
1.00000 1.50000 850.000 900.000 0.0 0.0	1.00000 1.50000 850.000 900.000 0.0 0.0
1.00000 1.50000 900.000 950.000 0.0 0.0	1.00000 1.50000 900.000 950.000 0.0 0.0
1.00000 1.50000 950.000 1000.00 0.0 0.0	1.00000 1.50000 950.000 1000.00 0.0 0.0
1.00000 1.50000 1000.00 1050.00 0.0 0.0	1.00000 1.50000 1000.00 1050.00 0.0 0.0
 	 
1.50000 2.00000 -50.0000 0.00000 0.0 0.0	1.50000 2.00000 -50.0000 0.00000 0.0 0.0
1.50000 2.00000 0.00000 50.0000 0.0 0.0	1.50000 2.00000 0.00000 50.0000 0.0 0.0
1.50000 2.00000 50.0000 100.000 0.0 0.0	1.50000 2.00000 50.0000 100.000 0.0 0.0
1.50000 2.00000 100.000 150.000 0.0 0.0	1.50000 2.00000 100.000 150.000 0.0 0.0
1.50000 2.00000 150.000 200.000 0.0 0.0	1.50000 2.00000 150.000 200.000 0.0 0.0
1.50000 2.00000 200.000 250.000 0.0 0.0	1.50000 2.00000 200.000 250.000 0.0 0.0
1.50000 2.00000 250.000 300.000 0.0 0.0	1.50000 2.00000 250.000 300.000 0.0 0.0
1.50000 2.00000 300.000 350.000 0.0 0.0	1.50000 2.00000 300.000 350.000 0.0 0.0
1.50000 2.00000 350.000 400.000 0.0 0.0	1.50000 2.00000 350.000 400.000 0.0 0.0
1.50000 2.00000 400.000 450.000 0.0 0.0	1.50000 2.00000 400.000 450.000 0.0 0.0
1.50000 2.00000 450.000 500.000 0.0 0.0	1.50000 2.00000 450.000 500.000 0.0 0.0
1.50000 2.00000 500.000 550.000 0.0 0.0	1.50000 2.00000 500.000 550.000 0.0 0.0
1.50000 2.00000 550.000 600.000 0.0 0.0	1.50000 2.00000 550.000 600.000 0.0 0.0
1.50000 2.00000 600.000 650.000 0.0 0.0	1.50000 2.00000 600.000 650.000 0.0 0.0
1.50000 2.00000 650.000 700.000 0.0 0.0	1.50000 2.00000 650.000 700.000 0.0 0.0
1.50000 2.00000 700.000 750.000 0.0 0.0	1.50000 2.00000 700.000 750.000 0.0 0.0
1.50000 2.00000 750.000 800.000 0.0 0.0	1.50000 2.00000 750.000 800.000 0.0 0.0
1.50000 2.00000 800.000 850.000 0.0 0.0	1.50000 2.00000 800.000 850.000 0.0 0.0
1.50000 2.00000 850.000 900.000 0.0 0.0	1.50000 2.00000 850.000 900.000 0.0 0.0
1.50000 2.00000 900.000 950.000 0.0 0.0	1.50000 2.00000 900.000 950.000 0.0 0.0
1.50000 2.00000 950.000 1000.00 0.0 0.0	1.50000 2.00000 950.000 1000.00 0.0 0.0
1.50000 2.00000 1000.00 1050.00 0.0 0.0	1.50000 2.00000 1000.00 1050.00 0.0 0.0
 	 
2.00000 2.50000 -50.0000 0.00000 0.0 0.0	2.00000 2.50000 -50.0000 0.00000 0.0 0.0
2.00000 2.50000 0.00000 50.0000 0.0 0.0	2.00000 2.50000 0.00000 50.0000 0.0 0.0
2.00000 2.50000 50.0000 100.000 0.0 0.0	2.00000 2.50000 50.0000 100.000 0.0 0.0
2.00000 2.50000 100.000 150.000 0.0 0.0	2.00000 2.50000 100.000 150.000 0.0 0.0
2.00000 2.50000 150.000 200.000 0.0 0.0	2.00000 2.50000 150.000 200.000 0.0 0.0
2.00000 2.50000 200.000 250.000 0.00038412806299212597 8.524315850767254e-07	2.00000 2.50000 200.000 250.000 0.0003809705 4.680034454272087e-07
2.00000 2.50000 250.000 300.000 0.0004379193228346457 9.064463651643457e-07	2.00000 2.50000 250.000 300.000 0.0002775513125 3.614607770520479e-07
2.00000 2.50000 300.000 350.000 0.0004443502204724411 8.95801831536638e-07	2.00000 2.50000 300.000 350.000 0.00020009040625000002 2.742108877808083e-07
2.00000 2.50000 350.000 400.000 0.00042860718110236245 8.991510159759613e-07	2.00000 2.50000 350.000 400.000 0.0001463523125 2.2180194591024294e-07
2.00000 2.50000 400.000 450.000 0.0003946357007874018 1.0024687238204237e-06	2.00000 2.50000 400.000 450.000 0.00010887346875000001 1.9730315796949463e-07
2.00000 2.50000 450.000 500.000 0.000362077094488189 9.894687583488598e-07	2.00000 2.50000 450.000 500.000 8.206260000000002e-05 2.0819059788106708e-07
2.00000 2.50000 500.000 550.000 0.00032282417322834653 1.056483337206548e-06	2.00000 2.50000 500.000 550.000 6.266528125000001e-05 1.6873636609301614e-07
2.00000 2.50000 550.000 600.000 0.00028959604724409447 8.248805945200893e-07	2.00000 2.50000 550.000 600.000 4.825234687500001e-05 1.2207806207893074e-07
2.00000 2.50000 600.000 650.000 0.00025631974015748047 7.929544568993021e-07	2.00000 2.50000 600.000 650.000 3.7731353124999993e-05 1.5718196167811827e-07
2.00000 2.50000 650.000 700.000 0.00022605663779527556 8.18891192100666e-07	2.00000 2.50000 650.000 700.000 2.9498771875e-05 1.0117493719206049e-07
2.00000 2.50000 700.000 750.000 0.00019794413385826768 8.129497134189337e-07	2.00000 2.50000 700.000 750.000 2.3365634374999997e-05 9.779342281923244e-08
2.00000 2.50000 750.000 800.000 0.00017541566929133863 7.645126832228363e-07	2.00000 2.50000 750.000 800.000 1.8100483437500006e-05 4.4733488671627204e-07
2.00000 2.50000 800.000 850.000 0.00015470609448818893 6.357070386137658e-07	2.00000 2.50000 800.000 850.000 1.52721625e-05 4.554838132324511e-07
2.00000 2.50000 850.000 900.000 0.00013665413385826778 6.35108776411687e-07	2.00000 2.50000 850.000 900.000 1.1874359375e-05 7.473233232988161e-08
2.00000 2.50000 900.000 950.000 0.00011940293700787405 6.212177913774695e-07	2.00000 2.50000 900.000 950.000 9.7455715625e-06 6.816924456622992e-08
2.00000 2.50000 950.000 1000.00 0.00010659433149606294 6.041446304592683e-07	2.00000 2.50000 950.000 1000.00 7.901495937499998e-06 6.245348472410162e-08
2.00000 2.50000 1000.00 1050.00 0.0008977263228346455 1.2230142710299892e-06	2.00000 2.50000 1000.00 1050.00 4.2984121875e-05 1.8289710510660617e-07
 	 
2.50000 3.00000 -50.0000 0.00000 0.0 0.0	2.50000 3.00000 -50.0000 0.00000 0.0 0.0
2.50000 3.00000 0.00000 50.0000 0.0 0.0	2.50000 3.00000 0.00000 50.0000 0.0 0.0
2.50000 3.00000 50.0000 100.000 0.0 0.0	2.50000 3.00000 50.0000 100.000 0.0 0.0
2.50000 3.00000 100.000 150.000 0.0 0.0	2.50000 3.00000 100.000 150.000 0.0 0.0
2.50000 3.00000 150.000 200.000 0.0 0.0	2.50000 3.00000 150.000 200.000 0.0 0.0
2.50000 3.00000 200.000 250.000 0.0002762577401574803 8.643380638556833e-07	2.50000 3.00000 200.000 250.000 0.00025392734375 3.647032543095878e-07
2.50000 3.00000 250.000 300.000 0.0003876962283464565 1.0741016787410223e-06	2.50000 3.00000 250.000 300.000 0.00020861668749999997 3.104797281944935e-07
2.50000 3.00000 300.000 350.000 0.00045433766141732274 1.0741695515524618e-06	2.50000 3.00000 300.000 350.000 0.00015859281249999997 2.2275724880838264e-07
2.50000 3.00000 350.000 400.000 0.00047809538582677157 1.051139469824761e-06	2.50000 3.00000 350.000 400.000 0.00011864706249999998 1.713635765975024e-07
2.50000 3.00000 400.000 450.000 0.00047750974803149605 1.0509414010840908e-06	2.50000 3.00000 400.000 450.000 8.866255312499998e-05 1.5942611609377278e-07
2.50000 3.00000 450.000 500.000 0.0004609860078740155 1.1076072083076802e-06	2.50000 3.00000 450.000 500.000 6.735613125e-05 1.3352511908450136e-07
2.50000 3.00000 500.000 550.000 0.0004343095196850395 1.2374639020824537e-06	2.50000 3.00000 500.000 550.000 5.206809062499999e-05 1.0831714530317399e-07
2.50000 3.00000 550.000 600.000 0.0004042654724409447 1.0209322680036372e-06	2.50000 3.00000 550.000 600.000 4.0374056249999995e-05 9.284333881785842e-08
2.50000 3.00000 600.000 650.000 0.0003682196850393702 1.0521500824889684e-06	2.50000 3.00000 600.000 650.000 3.1494684374999997e-05 8.061607865165559e-08
2.50000 3.00000 650.000 700.000 0.0003365055905511814 9.861070697108702e-07	2.50000 3.00000 650.000 700.000 2.5023656249999998e-05 8.702182059562055e-08
2.50000 3.00000 700.000 750.000 0.00030543811811023616 8.823097861234627e-07	2.50000 3.00000 700.000 750.000 1.9835703124999998e-05 6.973258916798721e-08
2.50000 3.00000 750.000 800.000 0.0002755681968503937 8.283124295075577e-07	2.50000 3.00000 750.000 800.000 1.5944393749999997e-05 6.918063142043781e-08
2.50000 3.00000 800.000 850.000 0.00024660925984251964 8.41909685977046e-07	2.50000 3.00000 800.000 850.000 1.2797390624999999e-05 6.157871460220302e-08
2.50000 3.00000 850.000 900.000 0.00022100387401574807 7.903976754649731e-07	2.50000 3.00000 850.000 900.000 1.0219474375e-05 5.337790188256528e-08
2.50000 3.00000 900.000 950.000 0.00019891271653543302 7.78197536991796e-07	2.50000 3.00000 900.000 950.000 8.24859625e-06 4.826701347471745e-08
2.50000 3.00000 950.000 1000.00 0.0001776175196850394 7.859700324936942e-07	2.50000 3.00000 950.000 1000.00 6.8050553124999984e-06 4.533616129496288e-08
2.50000 3.00000 1000.00 1050.00 0.001600987165354331 1.180679919879585e-06	2.50000 3.00000 1000.00 1050.00 3.5276093750000004e-05 1.2653024315859217e-07
 	 
3.00000 3.50000 -50.0000 0.00000 0.0 0.0	3.00000 3.50000 -50.0000 0.00000 0.0 0.0
3.00000 3.50000 0.00000 50.0000 0.0 0.0	3.00000 3.50000 0.00000 50.0000 0.0 0.0
3.00000 3.50000 50.0000 100.000 0.0 0.0	3.00000 3.50000 50.0000 100.000 0.0 0.0
3.00000 3.50000 100.000 150.000 0.0 0.0	3.00000 3.50000 100.000 150.000 0.0 0.0
3.00000 3.50000 150.000 200.000 0.0 0.0	3.00000 3.50000 150.000 200.000 0.0 0.0
3.00000 3.50000 200.000 250.000 0.00013730957480314967 4.932809297048027e-07	3.00000 3.50000 200.000 250.000 0.00011809021875 2.697672277061064e-07
3.00000 3.50000 250.000 300.000 0.00024966954330708676 8.228773816164759e-07	3.00000 3.50000 250.000 300.000 0.00012753706249999994 2.3823274548923756e-07
3.00000 3.50000 300.000 350.000 0.00034849003149606294 9.354241820259428e-07	3.00000 3.50000 300.000 350.000 0.00010956971875 2.383755221185555e-07
3.00000 3.50000 350.000 400.000 0.0004187081811023622 1.0725298520915386e-06	3.00000 3.50000 350.000 400.000 8.7983878125e-05 1.8149559541417014e-07
3.00000 3.50000 400.000 450.000 0.0004584025826771654 1.1427800148088735e-06	3.00000 3.50000 400.000 450.000 6.810799999999999e-05 1.2230215904331073e-07
3.00000 3.50000 450.000 500.000 0.0004793753937007875 1.1449669755623725e-06	3.00000 3.50000 450.000 500.000 5.2635062499999994e-05 1.9911033939213594e-07
3.00000 3.50000 500.000 550.000 0.0004763473622047243 1.1254187761626727e-06	3.00000 3.50000 500.000 550.000 4.060402187500001e-05 9.801355180153382e-08
3.00000 3.50000 550.000 600.000 0.0004681222362204726 1.1172632785937852e-06	3.00000 3.50000 550.000 600.000 3.180079375000001e-05 7.49065940724263e-08
3.00000 3.50000 600.000 650.000 0.0004480959133858267 1.2926618522461232e-06	3.00000 3.50000 600.000 650.000 2.4910950000000006e-05 6.64075858969011e-08
3.00000 3.50000 650.000 700.000 0.00042417479527559064 1.1133718017479952e-06	3.00000 3.50000 650.000 700.000 1.9943146874999998e-05 7.147160903281287e-08
3.00000 3.50000 700.000 750.000 0.00039725660629921246 1.1691006878208683e-06	3.00000 3.50000 700.000 750.000 1.6116184375e-05 6.150561379089653e-08
3.00000 3.50000 750.000 800.000 0.00037001277952755906 1.1005214569427508e-06	3.00000 3.50000 750.000 800.000 1.2896215625000004e-05 4.629207246562943e-08
3.00000 3.50000 800.000 850.000 0.0003396672598425196 9.736016338470962e-07	3.00000 3.50000 800.000 850.000 1.0438776875000002e-05 4.757465792318231e-08
3.00000 3.50000 850.000 900.000 0.0003134155433070865 9.734913428504984e-07	3.00000 3.50000 850.000 900.000 8.486682499999998e-06 4.766136717721357e-08
3.00000 3.50000 900.000 950.000 0.0002867830393700788 9.939248321670171e-07	3.00000 3.50000 900.000 950.000 6.954020937499999e-06 4.430832062214153e-08
3.00000 3.50000 950.000 1000.00 0.00026295310236220483 8.669805900356518e-07	3.00000 3.50000 950.000 1000.00 5.7529365625e-06 3.60932799559085e-08
3.00000 3.50000 1000.00 1050.00 0.002627184881889763 1.2492884000353534e-06	3.00000 3.50000 1000.00 1050.00 2.8902349999999993e-05 9.714538952217465e-08
 	 
3.50000 4.00000 -50.0000 0.00000 0.0 0.0	3.50000 4.00000 -50.0000 0.00000 0.0 0.0
3.50000 4.00000 0.00000 50.0000 0.0 0.0	3.50000 4.00000 0.00000 50.0000 0.0 0.0
3.50000 4.00000 50.0000 100.000 0.0 0.0	3.50000 4.00000 50.0000 100.000 0.0 0.0
3.50000 4.00000 100.000 150.000 0.0 0.0	3.50000 4.00000 100.000 150.000 0.0 0.0
3.50000 4.00000 150.000 200.000 0.0 0.0	3.50000 4.00000 150.000 200.000 0.0 0.0
3.50000 4.00000 200.000 250.000 3.6332099212598434e-05 2.5005440516897655e-07	3.50000 4.00000 200.000 250.000 2.5535549999999996e-05 1.3515256387776518e-07
3.50000 4.00000 250.000 300.000 0.00010670027401574798 5.180873318874237e-07	3.50000 4.00000 250.000 300.000 5.099671875000002e-05 1.631974424541757e-07
3.50000 4.00000 300.000 350.000 0.0001875945984251968 6.885228654793653e-07	3.50000 4.00000 300.000 350.000 5.879080312500001e-05 1.5616726495988143e-07
3.50000 4.00000 350.000 400.000 0.0002684530708661419 8.853534078084752e-07	3.50000 4.00000 350.000 400.000 5.42204375e-05 1.302106627641061e-07
3.50000 4.00000 400.000 450.000 0.0003338603937007874 9.127543302466364e-07	3.50000 4.00000 400.000 450.000 4.5960284374999996e-05 1.1627978777652004e-07
3.50000 4.00000 450.000 500.000 0.00038716248818897663 1.1005544002401375e-06	3.50000 4.00000 450.000 500.000 3.715289374999999e-05 1.2654455035770366e-07
3.50000 4.00000 500.000 550.000 0.00041708171653543334 1.1205362049529808e-06	3.50000 4.00000 500.000 550.000 2.9969190624999998e-05 1.0513683512950552e-07
3.50000 4.00000 550.000 600.000 0.00043539177165354334 1.0862493623027812e-06	3.50000 4.00000 550.000 600.000 2.3845578125e-05 6.896271612968414e-08
3.50000 4.00000 600.000 650.000 0.00044253052755905493 1.294632491792367e-06	3.50000 4.00000 600.000 650.000 1.9032515625e-05 6.698538484627752e-08
3.50000 4.00000 650.000 700.000 0.0004351628425196849 1.1441192668613857e-06	3.50000 4.00000 650.000 700.000 1.5193209375000002e-05 5.396318045882253e-08
3.50000 4.00000 700.000 750.000 0.00042855362204724393 1.1691929047035511e-06	3.50000 4.00000 700.000 750.000 1.2112781249999997e-05 4.477259331350599e-08
3.50000 4.00000 750.000 800.000 0.0004123536456692912 1.1301375900246344e-06	3.50000 4.00000 750.000 800.000 9.867655312500001e-06 4.882268198893598e-08
3.50000 4.00000 800.000 850.000 0.0003939501653543308 1.2919190235778632e-06	3.50000 4.00000 800.000 850.000 8.045130625e-06 3.7233533664854796e-08
3.50000 4.00000 850.000 900.000 0.00037594121259842543 1.221627329122653e-06	3.50000 4.00000 850.000 900.000 6.664189687499999e-06 3.824013047266453e-08
3.50000 4.00000 900.000 950.000 0.0003515854251968502 1.2395225544644784e-06	3.50000 4.00000 900.000 950.000 5.455972812500001e-06 4.3580839985242794e-08
3.50000 4.00000 950.000 1000.00 0.00033179188188976375 1.18533733877167e-06	3.50000 4.00000 950.000 1000.00 4.514589999999999e-06 3.077965508942276e-08
3.50000 4.00000 1000.00 1050.00 0.0038837515748031495 1.4530508248087333e-06	3.50000 4.00000 1000.00 1050.00 2.3474862499999995e-05 7.673955255737457e-08
 	 
4.00000 4.50000 -50.0000 0.00000 0.0 0.0	4.00000 4.50000 -50.0000 0.00000 0.0 0.0
4.00000 4.50000 0.00000 50.0000 0.0 0.0	4.00000 4.50000 0.00000 50.0000 0.0 0.0
4.00000 4.50000 50.0000 100.000 0.0 0.0	4.00000 4.50000 50.0000 100.000 0.0 0.0
4.00000 4.50000 100.000 150.000 0.0 0.0	4.00000 4.50000 100.000 150.000 0.0 0.0
4.00000 4.50000 150.000 200.000 0.0 0.0	4.00000 4.50000 150.000 200.000 0.0 0.0
4.00000 4.50000 200.000 250.000 1.1097195590551175e-06 3.2253531168919597e-08	4.00000 4.50000 200.000 250.000 6.2245025e-07 2.2434346060645033e-08
4.00000 4.50000 250.000 300.000 2.1461922834645662e-05 1.899864249630845e-07	4.00000 4.50000 250.000 300.000 8.380223125000002e-06 7.443761423306069e-08
4.00000 4.50000 300.000 350.000 6.523443307086613e-05 3.6302576520937567e-07	4.00000 4.50000 300.000 350.000 1.8078915625000006e-05 9.122687002310184e-08
4.00000 4.50000 350.000 400.000 0.00011576157716535433 5.414028554020027e-07	4.00000 4.50000 350.000 400.000 2.3371403125000002e-05 9.925673518619905e-08
4.00000 4.50000 400.000 450.000 0.00017352645669291335 6.24939369352911e-07	4.00000 4.50000 400.000 450.000 2.4132934375000002e-05 9.519969936072826e-08
4.00000 4.50000 450.000 500.000 0.0002266450236220472 7.623549839457155e-07	4.00000 4.50000 450.000 500.000 2.1831953125000005e-05 8.074071477351852e-08
4.00000 4.50000 500.000 550.000 0.0002739736535433072 9.657963321654208e-07	4.00000 4.50000 500.000 550.000 1.8926750000000003e-05 7.221994608088391e-08
4.00000 4.50000 550.000 600.000 0.000311662590551181 1.0872038710360325e-06	4.00000 4.50000 550.000 600.000 1.5790518750000004e-05 6.630118026707833e-08
4.00000 4.50000 600.000 650.000 0.0003399759921259842 1.1672865455944946e-06	4.00000 4.50000 600.000 650.000 1.3060068749999997e-05 6.52569566577798e-08
4.00000 4.50000 650.000 700.000 0.00035953476377952764 1.058874556548229e-06	4.00000 4.50000 650.000 700.000 1.0738444375000003e-05 4.9836568024444444e-08
4.00000 4.50000 700.000 750.000 0.0003702990866141731 1.1586672491423707e-06	4.00000 4.50000 700.000 750.000 8.786741875e-06 3.9334339927513755e-08
4.00000 4.50000 750.000 800.000 0.0003729977165354331 1.2497284298844606e-06	4.00000 4.50000 750.000 800.000 7.246928125e-06 4.4850247865477034e-08
4.00000 4.50000 800.000 850.000 0.00037240452755905493 1.183872757730928e-06	4.00000 4.50000 800.000 850.000 5.928815937500001e-06 3.3563465902302165e-08
4.00000 4.50000 850.000 900.000 0.00036811933858267717 1.127001080611597e-06	4.00000 4.50000 850.000 900.000 4.7872715625e-06 2.6869036396982007e-08
